SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentType,SHPH_Status,SHPH_ShipmentCode,ORDM_OrderNumber,SCPM_ID,SCPM_Code,SCPM_Name,LGCM_Name,LGCVM_VehicleNumber,SHPD_ProductName,SHPD_ProductCode,PL_ProductId,PM_PackSize,PM_GrossWeight,PM_MinOffset,PM_MaxOffset,SHPD_ShipQty,BatchId,Count,Address,userId,userName,pass,fail,total,remaining,status,BypassMode
157,69,New Order,2,BW_51,ORD_SO_GP01_5,36,N01,Nashik,A Transport,GJ-01-MI-1034,PRODUCT PAPAD,PP,37,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,RUNNING,TRUE
166,69,New Order,2,BW_51,ORD_SO_GP01_11,36,N01,Nashik,A Transport,GJ-01-MI-1034,DEMO PRODUCT 2301,DEMO2301,30,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
165,69,New Order,2,BW_51,ORD_SO_GP01_11,36,N01,Nashik,A Transport,GJ-01-MI-1034,PRODUCT-01,PC01,33,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
164,69,New Order,2,BW_51,ORD_SO_GP01_11,36,N01,Nashik,A Transport,GJ-01-MI-1034,prod001,prod101,34,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
163,69,New Order,2,BW_51,ORD_SO_GP01_11,36,N01,Nashik,A Transport,GJ-01-MI-1034,prod002,prod2,35,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
162,69,New Order,2,BW_51,ORD_SO_GP01_11,36,N01,Nashik,A Transport,GJ-01-MI-1034,Garlic-Papad 200 GM,GP01,36,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
161,69,New Order,2,BW_51,ORD_SO_GP01_11,36,N01,Nashik,A Transport,GJ-01-MI-1034,PRODUCT PAPAD,PP,37,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
160,69,New Order,2,BW_51,ORD_SO_GP01_10,36,N01,Nashik,A Transport,GJ-01-MI-1034,DOBULE MARI PAPAD 400 GM,DM01,18,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
159,69,New Order,2,BW_51,ORD_SO_GP01_9,36,N01,Nashik,A Transport,GJ-01-MI-1034,prod002,prod2,35,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
158,69,New Order,2,BW_51,ORD_SO_GP01_9,36,N01,Nashik,A Transport,GJ-01-MI-1034,Garlic-Papad 200 GM,GP01,36,,,,,1,,,"thaltej, , Ahmedabad, Gujarat, India, 654789",33,WH1,0,0,1,1,,TRUE
147,69,New Order,2,BW_51,ORD_SO_GP01_15,37,B01,Baddi,A Transport,GJ-01-MI-1034,PRODUCT PAPAD,PP,37,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
156,69,New Order,2,BW_51,ORD_SO_GP01_7,37,B01,Baddi,A Transport,GJ-01-MI-1034,Garlic-Papad 200 GM,GP01,36,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
155,69,New Order,2,BW_51,ORD_SO_GP01_7,37,B01,Baddi,A Transport,GJ-01-MI-1034,PRODUCT PAPAD,PP,37,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
154,69,New Order,2,BW_51,ORD_B01_1,37,B01,Baddi,A Transport,GJ-01-MI-1034,DEMO-01,DEMO02,31,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
153,69,New Order,2,BW_51,ORD_SO_GP01_6,37,B01,Baddi,A Transport,GJ-01-MI-1034,KEMCHHO PAPAD,123,27,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
152,69,New Order,2,BW_51,ORD_SO_GP01_6,37,B01,Baddi,A Transport,GJ-01-MI-1034,Garlic-Papad 200 GM,GP01,36,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
151,69,New Order,2,BW_51,ORD_SO_GP01_6,37,B01,Baddi,A Transport,GJ-01-MI-1034,PRODUCT PAPAD,PP,37,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
150,69,New Order,2,BW_51,ORD_B01_16,37,B01,Baddi,A Transport,GJ-01-MI-1034,PRODUCT PAPAD,PP,37,,,,,1,,,"Near Baghban Party Plot, Thaltej, Ahmedabad, Gujrat, India, 654789",33,WH1,0,0,1,1,,TRUE
